2026-05-19 18:48:38 | INFO     | __main__:89 | Iniciando FinanceHub…
2026-05-19 18:48:38 | INFO     | __main__:105 | Subindo servidor FastAPI em 127.0.0.1:8765
2026-05-19 18:48:38 | INFO     | __main__:115 | Aguardando API ficar disponível em http://127.0.0.1:8765/health…
2026-05-19 18:48:40 | INFO     | __main__:125 | API pronta.
2026-05-19 18:48:40 | INFO     | __main__:147 | Interface aberta. Aguardando o usuário.
2026-05-19 18:49:48 | INFO     | __main__:89 | Iniciando FinanceHub…
2026-05-19 18:49:48 | INFO     | __main__:105 | Subindo servidor FastAPI em 127.0.0.1:8765
2026-05-19 18:49:48 | INFO     | __main__:115 | Aguardando API ficar disponível em http://127.0.0.1:8765/health…
2026-05-19 18:49:49 | INFO     | __main__:125 | API pronta.
2026-05-19 18:49:49 | INFO     | __main__:147 | Interface aberta. Aguardando o usuário.
2026-05-19 18:56:41 | INFO     | __main__:149 | Aplicação encerrada (código 0).
2026-05-19 19:07:30 | INFO     | __main__:89 | Iniciando FinanceHub…
2026-05-19 19:07:30 | INFO     | __main__:105 | Subindo servidor FastAPI em 127.0.0.1:8765
2026-05-19 19:07:30 | INFO     | __main__:115 | Aguardando API ficar disponível em http://127.0.0.1:8765/health…
2026-05-19 19:07:30 | INFO     | __main__:125 | API pronta.
2026-05-19 19:07:32 | INFO     | __main__:147 | Interface aberta. Aguardando o usuário.
2026-05-19 19:14:13 | INFO     | __main__:89 | Iniciando FinanceHub…
2026-05-19 19:14:13 | INFO     | __main__:105 | Subindo servidor FastAPI em 127.0.0.1:8765
2026-05-19 19:14:13 | INFO     | __main__:115 | Aguardando API ficar disponível em http://127.0.0.1:8765/health…
2026-05-19 19:14:14 | INFO     | __main__:125 | API pronta.
2026-05-19 19:14:14 | INFO     | __main__:147 | Interface aberta. Aguardando o usuário.
2026-05-19 19:16:54 | INFO     | __main__:149 | Aplicação encerrada (código 0).
2026-05-19 19:16:56 | INFO     | __main__:89 | Iniciando FinanceHub…
2026-05-19 19:16:56 | INFO     | __main__:105 | Subindo servidor FastAPI em 127.0.0.1:8765
2026-05-19 19:16:56 | INFO     | __main__:115 | Aguardando API ficar disponível em http://127.0.0.1:8765/health…
2026-05-19 19:16:57 | INFO     | __main__:125 | API pronta.
2026-05-19 19:16:57 | INFO     | __main__:147 | Interface aberta. Aguardando o usuário.
2026-05-19 19:17:06 | INFO     | __main__:149 | Aplicação encerrada (código 0).
2026-05-19 19:17:26 | INFO     | __main__:89 | Iniciando FinanceHub…
2026-05-19 19:17:26 | INFO     | __main__:105 | Subindo servidor FastAPI em 127.0.0.1:8765
2026-05-19 19:17:26 | INFO     | __main__:115 | Aguardando API ficar disponível em http://127.0.0.1:8765/health…
2026-05-19 19:17:27 | INFO     | __main__:125 | API pronta.
2026-05-19 19:17:27 | INFO     | __main__:147 | Interface aberta. Aguardando o usuário.
2026-05-19 19:17:44 | INFO     | __main__:149 | Aplicação encerrada (código 0).
2026-05-19 19:17:59 | INFO     | __main__:89 | Iniciando FinanceHub…
2026-05-19 19:17:59 | INFO     | __main__:105 | Subindo servidor FastAPI em 127.0.0.1:8765
2026-05-19 19:17:59 | INFO     | __main__:115 | Aguardando API ficar disponível em http://127.0.0.1:8765/health…
2026-05-19 19:17:59 | INFO     | __main__:125 | API pronta.
2026-05-19 19:18:00 | INFO     | __main__:147 | Interface aberta. Aguardando o usuário.
2026-05-19 19:18:02 | INFO     | __main__:149 | Aplicação encerrada (código 0).
2026-05-19 19:20:43 | INFO     | __main__:89 | Iniciando FinanceHub…
2026-05-19 19:20:43 | INFO     | __main__:105 | Subindo servidor FastAPI em 127.0.0.1:8765
2026-05-19 19:20:43 | INFO     | __main__:115 | Aguardando API ficar disponível em http://127.0.0.1:8765/health…
2026-05-19 19:20:44 | INFO     | __main__:125 | API pronta.
2026-05-19 19:20:44 | INFO     | __main__:147 | Interface aberta. Aguardando o usuário.
2026-05-19 19:20:57 | INFO     | __main__:149 | Aplicação encerrada (código 0).
2026-05-19 19:23:48 | INFO     | __main__:89 | Iniciando FinanceHub…
2026-05-19 19:23:48 | INFO     | __main__:105 | Subindo servidor FastAPI em 127.0.0.1:8765
2026-05-19 19:23:48 | INFO     | __main__:115 | Aguardando API ficar disponível em http://127.0.0.1:8765/health…
2026-05-19 19:23:49 | INFO     | __main__:125 | API pronta.
2026-05-19 19:23:49 | INFO     | __main__:147 | Interface aberta. Aguardando o usuário.
2026-05-19 19:30:39 | INFO     | __main__:149 | Aplicação encerrada (código 0).
2026-05-19 20:59:43 | INFO     | __main__:89 | Iniciando FinanceHub…
2026-05-19 20:59:43 | INFO     | __main__:105 | Subindo servidor FastAPI em 127.0.0.1:8765
2026-05-19 20:59:43 | INFO     | __main__:115 | Aguardando API ficar disponível em http://127.0.0.1:8765/health…
2026-05-19 20:59:44 | INFO     | __main__:125 | API pronta.
2026-05-19 20:59:44 | INFO     | __main__:147 | Interface aberta. Aguardando o usuário.
2026-05-19 21:00:46 | INFO     | __main__:149 | Aplicação encerrada (código 0).
